0,black,68,-1,75,0,0,0,0,15,1,0,CREDIT_LINE_NEXT_Y CREDIT_LINE_BGIMAGE 
1, ,128,-1,75,0,0,0,0,15,1000,0,CREDIT_LINE_WAIT 
2, ,128,-1,75,0,0,0,0,15,4500,0,CREDIT_LINE_WAIT 
3, ,16,-1,75,0,0,0,0,15,4500,0,CREDIT_LINE_FLUSH
4,scroll_sequence_1,512,-1,75,0,0,0,50,-10,2,0,CREDIT_LINE_MARKER 
5, ,4,-1,75,0,0,720,50,800,2,0,CREDIT_LINE_NEXT_Y 
6,gfl_logo,260,-1,100,1,320,0,290,70,2,0,CREDIT_LINE_NEXT_Y CREDIT_LINE_IMAGE 
7, ,4,-1,75,0,0,0,50,-10,2,0,CREDIT_LINE_NEXT_Y 
8, ,4,-1,75,0,0,0,50,-10,2,0,CREDIT_LINE_NEXT_Y 
9, ,4,-1,75,0,0,0,50,-10,2,0,CREDIT_LINE_NEXT_Y 
10,Producer,2052,-1,150,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y CREDIT_LINE_ITALIC 
11,Loyalists,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
12, ,4,-1,110,0,0,0,400,-20,2,0,CREDIT_LINE_NEXT_Y 
13,Cast,2052,-1,150,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y CREDIT_LINE_ITALIC 
14, ,4096,-1,110,0,0,0,400,-20,2,0,CREDIT_LINE_BLOCK 
15,HK416,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
16,UMP45,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
17,M16A1,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
18,M4A1,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
19,M4 SOPMOD II,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
20,ST AR-15,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
21,RO635,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
22,RPK-16,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
23,Commander,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
24, ,4096,-1,110,0,0,0,400,-20,2,0,CREDIT_LINE_BLOCK 
25, ,4,-1,110,0,0,0,400,-20,2,0,CREDIT_LINE_NEXT_Y 
26,Additional Cast,2052,-1,150,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y CREDIT_LINE_ITALIC 
27, ,4096,-1,110,0,0,0,400,-20,2,0,CREDIT_LINE_BLOCK 
28,AK-12,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
29,P90,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
30,RFB,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
31,TAC-50,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
32,Howa Type 89,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
33,MP7,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
34,Suomi,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
35,RO635,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
36,9A-91,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
37,Super SASS,4,-1,110,1,320,0,0,-10,2,0,CREDIT_LINE_NEXT_Y 
